FIP_ID,STATE,COUNTY,79_SAMPLEDLANDWATER_ACRES,79_SE,79_SE_PERCENT,79_PLOT_COUNT,2_FORESTLAND_ACRES,2_SE,2_SE_PERCENT,2_PLOT_COUNT,20_NETSAWLOGVOLSAWTMBR_BRDFT,20_SE,20_SE_PERCENT,20_PLOT_COUNT,14_NETMERCHBOLELIVETREES_CBFT,14_SE,14_SE_PERCENT,14_PLOT_COUNT,203_AVGNETGROWTHSAWTMBR_BRDFT,203_SE,203_SE_PERCENT,203_PLOT_COUNT,1203_AVGANNGROSSGROWTHSAWTMBR_BRDFT,1203_SE,1203_SE_PERCENT,1203_PLOT_COUNT,227_AVGREMOVALSAWTMBR_BRDFT,227_SE,227_SE_PERCENT,227_PLOT_COUNT,98_CARBONLIVEABOVEGRND_MT,98_SE,98_SE_PERCENT,98_PLOT_COUNT
13277,GA,Tift,179950.50,32236.84,17.91,30,79940.32,20698.98,25.89,16,671637349.07,216116258.64,32.18,13,199075169.13,60418214.07,30.35,16,34422744.97,12291062.11,35.71,14,36151631.08,12506550.87,34.59,14,2334730.41,2312983.46,99.07,1.0,2176541.04,641571.85,29.48,16
13279,GA,Toombs,251060.19,38732.51,15.43,42,158697.46,30150.39,19.00,29,728009204.93,211307651.85,29.03,23,259181691.97,65689325.59,25.34,26,54176728.66,15089204.95,27.85,26,60251341.62,16342583.57,27.12,26,32197111.17,16337947.24,50.74,8.0,3228336.56,765341.05,23.71,29
13281,GA,Towns,111210.21,20780.16,18.69,37,86203.11,16265.02,18.87,34,956104519.88,204629199.78,21.40,33,278238808.94,54792563.42,19.69,34,30147248.33,6852206.18,22.73,32,31500373.96,7078718.42,22.47,32,,,,,3292199.41,636636.28,19.34,34
13283,GA,Treutlen,130475.48,28060.83,21.51,22,105054.37,24541.70,23.36,19,580868863.13,232131387.49,39.96,13,190178657.72,61682897.35,32.43,16,38351375.90,12640748.05,32.96,17,40122705.84,13103496.61,32.66,17,39447853.35,21029890.67,53.31,5.0,2254077.08,677945.30,30.08,19
13285,GA,Troup,292082.52,40846.78,13.98,49,205027.51,33107.58,16.15,40,2108649825.78,446667861.92,21.18,36,572149885.69,109480750.90,19.13,40,114998940.83,25664106.89,22.32,37,130286094.35,27672238.88,21.24,37,20264706.49,10147100.7,50.07,8.0,6338890.73,1172827.86,18.50,40
13287,GA,Turner,185912.87,32645.43,17.56,31,68299.79,18312.99,26.81,15,327905745.03,147068288.10,44.85,10,105693072.17,39556896.56,37.43,13,18678423.97,7178555.86,38.43,14,23735024.40,7663309.77,32.29,14,21739222.03,11207969.07,51.56,7.0,1190767.83,409493.53,34.39,15
13289,GA,Twiggs,234042.19,37089.94,15.85,39,199714.49,33725.59,16.89,35,937062665.16,279121888.67,29.79,25,329318517.02,74412496.79,22.60,34,58084777.23,16478397.91,28.37,27,66126421.09,16743574.26,25.32,27,24213619.92,15838953.82,65.41,4.0,4041158.11,850181.81,21.04,35
13291,GA,Union,206262.31,28583.04,13.86,65,146612.61,20426.17,13.93,60,1792499115.62,274966305.67,15.34,59,510678242.45,71244814.48,13.95,60,52107157.55,8887951.48,17.06,58,57680632.84,9184573.38,15.92,58,3010259.11,2109476.7,70.08,2.0,5682720.36,786146.68,13.83,60
13293,GA,Upson,214192.70,35540.03,16.59,36,153267.53,29243.68,19.08,29,1000040245.72,264857639.86,26.48,24,317601187.70,72378906.46,22.79,29,53584219.60,17037062.42,31.79,25,66296967.65,18736203.29,28.26,25,13427514.34,8506573.49,63.35,3.0,3788196.26,822662.38,21.72,29
13295,GA,Walker,285714.89,39024.72,13.66,54,166704.39,28464.18,17.07,39,1157813343.02,251212187.25,21.70,35,395101428.62,75015102.42,18.99,39,36171029.69,8947790.65,24.74,34,46310938.96,10004234.09,21.60,34,,,,,5039367.83,939099.97,18.64,39
13297,GA,Walton,227967.15,36363.25,15.95,38,132610.10,27020.75,20.38,26,1401661866.33,372587416.18,26.58,21,356934048.56,88632896.20,24.83,23,41362413.10,12018397.61,29.06,24,54769381.79,14405441.34,26.30,24,28790286.8,13618560.21,47.3,5.0,3852791.19,922777.96,23.95,26
13299,GA,Ware,546414.39,54775.96,10.02,75,476075.72,50472.85,10.60,66,1231351211.42,244586804.40,19.86,39,496583070.43,77963478.20,15.70,55,96174836.65,17631447.92,18.33,44,100928010.53,17853766.53,17.69,44,46820986.55,23041533.79,49.21,12.0,6315173.59,907681.19,14.37,66
13301,GA,Warren,184552.50,32962.91,17.86,31,167627.01,30706.00,18.32,30,1306149895.28,321319729.99,24.60,27,363616314.19,78829872.78,21.68,28,78377817.33,20366739.56,25.99,29,89475799.40,20756307.16,23.20,29,43092821.34,26796180.56,62.18,5.0,4173203.11,857752.09,20.55,30
